ID,date,days,height
Da_Ae_1,12/18/15,101,16
Da_Ae_1,1/20/16,134,43
Da_Ae_1,2/17/16,162,63
Da_Ae_1,3/16/16,190,141
Da_Ae_1,5/13/16,248,194
Da_Ae_2,12/18/15,101,10
Da_Ae_2,1/20/16,134,41
Da_Ae_2,2/17/16,162,60
Da_Ae_2,3/16/16,190,137
Da_Ae_2,5/13/16,248,203
F1_1,12/18/15,101,18
F1_1,1/20/16,134,54
F1_1,2/17/16,162,140
F1_1,3/16/16,190,180
F1_1,5/13/16,248,198
F1_2,12/18/15,101,19
F1_2,1/20/16,134,49
F1_2,2/17/16,162,100
F1_2,3/16/16,190,170
F1_2,5/13/16,248,196
F1_3,12/18/15,101,16
F1_3,1/20/16,134,52
F1_3,2/17/16,162,122
F1_3,3/16/16,190,170
F1_3,5/13/16,248,185
